word,hungary_public_ed_dev_strategy_2004_en.pdf,estonia-higher-education-strategy-2006-2015.pdf,ireland_national_skills_stratgey_2025.pdf,norway_secondary_education.pdf,armenia_educational_national_plan.pdf,strategic_framework_cz20301.pdf,czech_republic_framework_education_programme_for_basic_education.pdf,bosnia-and-herzegovina_priorities_for_2016_-_2026_higher_education_development_in_bih_eu.pdf,albania-education-strategy-2004-2015.pdf,ireland_strategy_statement.pdf,croatia_education_sector_development_plan_2005-2010.pdf,moldova_r_seqa-esg-national-action-plan_rm_final_engl.pdf,czech_republic_higher_education_strategic_plan_2021.pdf,ireland_national-strategy-for-higher-education-2030-implementation-plan.pdf,georgia_consolidated_education_strategy_and_action_plan_2007-2011.pdf,moldova_education_plan2006-2008.pdf,denmark_better_education_action_plan.pdf,netherlands_quality_agreements_2019-2024.pdf,ireland_department-of-education-and-skills-strategy-statement-2016-2019.pdf,netherlands_quality_in_diversity_strategy.pdf,estonia_youth_work_strategy_2006-2013.pdf,lithuania_ed_improvement_project_2002-2005.pdf,montenegro_strategy_for_the_development_of_higher_education_2016-2020.pdf,reportsstategy-statementdepartment-of-education-and-skills-statement-of-strategy-2015-2017.pdf,moldova_consolidated_strategy_ed-dev_2011-2015.pdf,ireland_statement-of-strategy-2019-2021.pdf
strategyforirelandaspx,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpwwwwelfareieenpagespathwaystoworkgovernmentpolicystatementonlabourmaraspx,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sola,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0
egsfn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quantifi,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
outpac,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optimist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scenario,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,25,0,0,2,0,0,0,0,0,0,2
pace,0,0,3,0,4,2,6,0,2,0,2,0,0,0,2,0,0,0,0,5,0,0,0,0,0,2
personnel,0,0,4,2,9,6,5,0,8,5,3,0,8,0,25,37,0,0,1,3,0,0,0,0,1,0
technician,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0
phd,0,0,3,0,2,0,0,0,0,0,1,2,5,6,0,0,6,0,0,15,0,0,2,1,5,0
leader,0,0,2,2,0,0,0,1,1,0,1,0,1,0,0,0,1,0,22,0,0,0,0,2,0,3
familiesa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teagasc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fapri,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harvest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
architect,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
draughtsperson,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
craftsperson,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bricklay,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaster,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
analyst,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
clerk,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
payrol,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
scientist,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11,0,0,3,0,0,0
web,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0
farm,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
esri,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiscal,0,0,1,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
expansionari,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpwwwskillsirelandi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
januari,0,0,4,2,5,1,0,0,0,1,1,0,2,0,0,0,1,0,0,4,1,0,0,0,0,0
art,0,0,6,0,1,8,68,0,1,0,9,4,4,0,1,1,2,1,9,24,2,0,0,0,12,0
sport,0,0,4,0,0,2,30,2,1,0,21,2,10,0,0,1,0,1,0,2,5,0,0,0,1,1
s,0,0,21,3,1,7,1,9,2,0,0,0,6,1,0,0,2,0,16,2,0,0,0,0,8,22
taln,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
globe,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
proven,0,0,2,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,1,0
curious,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
know,0,0,1,0,0,3,10,0,0,0,0,4,2,0,0,0,5,0,3,7,0,0,2,0,2,0
style,0,0,1,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
custom,0,0,11,0,0,0,5,2,3,27,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
focuss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0
leaver,0,0,5,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
chosen,0,0,1,0,1,0,5,0,0,0,0,0,1,0,0,0,1,0,2,3,0,0,0,0,0,1
farmer,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
competitor,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nonconstruct,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
craft,0,0,3,0,1,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
slmru,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
driversandtrend,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impacton,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urbanis,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alter,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
abov,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
below,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
intensifi,0,0,1,0,0,4,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,8,0,0,3
chain,0,0,2,0,1,5,3,0,0,0,0,0,0,0,0,0,2,1,0,11,0,0,0,0,0,0
needsofth,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
globaltrendsandtheirinfluenceondemandforanddevelopmentofskil,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crossdisciplinari,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skillset,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
implic,0,0,3,0,0,0,3,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
technologybas,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collabor,0,0,21,1,0,2,2,0,0,3,1,5,9,7,0,0,0,0,12,79,0,0,1,5,1,9
crosssector,0,0,6,0,0,0,0,0,6,5,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,1
transver,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecommerc,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sell,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
generic,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0
soft,0,0,2,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0
cornerston,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
newway,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thatcompani,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block,0,0,1,0,0,3,2,0,9,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0
retent,0,0,21,0,0,2,0,0,0,5,0,0,0,0,1,0,0,0,6,0,0,1,0,1,0,2
higherlevel,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cognit,0,0,1,0,0,1,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0
interperson,0,0,1,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acumen,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
globalvalu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
networkshighlight,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uniqu,0,0,2,0,1,4,6,0,1,0,1,0,3,0,1,0,0,0,0,4,0,0,0,0,0,2
virtual,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0
permeat,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resarch,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rd,0,0,4,0,0,16,2,0,0,0,0,0,6,2,0,0,1,0,2,8,1,0,0,0,0,0
thedevelop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,3,0,0,0
addon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
egfsn,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lean,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
util,0,0,1,0,10,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0
cloud,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
businessanalyticforeign,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deep,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasavvi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
german,0,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
french,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leadership,0,0,4,1,0,0,0,2,0,6,2,1,2,1,0,0,0,0,17,0,0,0,0,2,3,5
spanish,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
italian,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
portugues,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advis,0,0,3,0,0,0,2,0,0,0,0,1,1,2,1,0,0,0,3,8,2,0,1,0,0,0
mandarin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
deal,0,0,1,0,1,8,6,0,3,6,2,1,4,0,0,0,1,0,2,6,2,0,1,0,0,2
lifestyl,0,0,1,0,0,10,15,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0
electr,0,0,1,0,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
varieti,0,0,2,0,2,1,1,0,2,2,1,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0
designdevelop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sectorspecif,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
midst,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tech,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
fastrack,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vacanc,0,0,5,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
leve,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wherea,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,2,0
networkingpc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contact,0,0,2,1,0,5,18,0,1,0,1,0,4,0,0,0,2,2,0,3,0,0,0,0,0,0
teamwork,0,0,3,0,0,0,10,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
multitask,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autom,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
polym,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
covigil,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biotechnologist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biochemist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
precis,0,0,1,0,0,4,4,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
against,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,0
beverag,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
technologist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
option,0,0,10,0,0,6,4,2,8,4,1,4,5,1,0,1,7,0,6,37,0,0,1,2,2,0
ssalesmarket,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leisur,0,0,1,0,3,4,9,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0
chef,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
demi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pastri,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de,0,0,1,0,0,2,0,0,2,1,0,0,9,0,0,0,4,1,0,22,0,0,0,0,0,0
cpd,0,0,12,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0
expatri,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planner,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warehous,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hgv,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prospect,0,0,4,0,3,2,5,0,0,1,1,1,2,0,2,0,6,0,1,11,0,0,0,0,2,0
women,0,0,3,0,4,7,3,0,0,5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,1
mine,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
charter,0,0,1,0,9,0,2,0,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,1,3,0
bim,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
profici,0,0,5,1,0,0,1,0,1,0,1,0,0,0,0,0,50,0,0,1,0,0,1,0,0,2
embed,0,0,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,2,14,0,0,0,1,0,1
httpfitiefitnewwpcontentuploadsfitictskillsauditpdf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tend,0,0,2,0,1,2,6,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
thought,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
aircraft,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mediat,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
done,0,0,3,0,0,0,0,0,8,0,0,2,6,0,4,0,1,0,3,3,0,0,1,0,0,0
placement,0,0,34,0,0,0,0,0,0,2,0,1,4,0,2,1,0,0,4,0,0,0,0,0,1,0
goer,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
counsellor,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0
des,0,0,71,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,136,0,0,0,0,0,0,1
dataset,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
where,0,0,2,0,0,1,4,0,1,0,0,1,5,1,1,0,1,0,1,2,0,0,1,0,0,0
limerick,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cedefop,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
citi,0,0,2,0,0,102,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0,2,1
isc,0,0,3,0,1,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
twelv,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0
mandat,0,0,3,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
mediumlevel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interrog,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
observ,0,0,2,1,0,0,72,0,0,0,0,6,3,0,8,0,3,0,1,0,0,0,3,0,3,0
conjunct,0,0,4,0,0,0,3,0,2,3,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
between,0,0,1,0,0,0,0,3,0,0,2,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0
httpwwwcedefopeuropaeuenpublicationsandresourcescountryreportsirelandskillsforecast,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
equival,0,0,2,0,0,1,0,0,3,1,0,0,6,0,3,0,0,0,1,1,0,0,0,0,5,0
hr,0,0,2,0,0,0,0,0,0,9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4
thejobtrain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fast,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0
versatil,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
proficti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ln,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncertainti,0,0,1,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0
those,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
easi,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
broken,0,0,1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
male,0,0,3,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0
femal,0,0,4,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0
speed,0,0,1,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0
regardless,0,0,1,0,0,5,1,0,0,0,3,0,5,0,1,1,0,1,0,0,0,0,1,0,2,0
not,0,0,5,0,0,2,1,0,6,0,0,0,1,0,1,1,0,0,1,3,0,0,0,0,0,0
professionaalsssoci,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
servicsesal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springboard,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
momentum,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
up,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0
kickstart,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
someon,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ill,0,0,1,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
discrep,0,0,1,0,1,1,1,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,6,0
round,0,0,5,0,0,0,3,0,1,0,0,1,2,0,1,0,1,1,1,3,2,0,0,0,0,0
valuabl,0,0,7,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
captur,0,0,4,0,0,6,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
us,0,0,4,0,0,23,6,0,0,3,0,0,5,0,2,0,0,0,8,2,0,0,0,2,0,3
lowest,0,0,1,1,0,4,1,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0
inroad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
workingag,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jobless,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
occupi,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
illhealth,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
foster,0,0,5,0,0,0,2,0,1,1,1,0,1,0,2,1,0,0,4,4,1,0,3,0,2,2
reintegr,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0
predictor,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plc,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ue,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fell,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
honour,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
initit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nontertiari,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fewer,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,9,1,0,0,0,0,0
othernot,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pension,0,0,6,0,1,3,0,0,0,2,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0
httpjusticeieenjelrpagescomprehensive_employment_strategy_for_people_with_disabilities__,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
migrat,0,0,5,0,0,9,0,0,3,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,1
search,0,0,2,0,0,3,16,0,0,0,1,0,7,0,0,0,2,0,0,5,0,0,0,0,0,0
elsewher,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
net,0,0,1,0,5,3,0,0,0,1,2,0,0,0,6,4,0,0,0,0,0,0,1,0,6,0
outward,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
persist,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
declin,0,0,3,0,9,5,0,0,0,0,5,0,1,0,1,0,0,0,3,3,0,0,1,0,5,0
birth,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
led,0,0,6,0,0,5,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
foot,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
