word,hungary_public_ed_dev_strategy_2004_en.pdf,estonia-higher-education-strategy-2006-2015.pdf,ireland_national_skills_stratgey_2025.pdf,norway_secondary_education.pdf,armenia_educational_national_plan.pdf,strategic_framework_cz20301.pdf,czech_republic_framework_education_programme_for_basic_education.pdf,bosnia-and-herzegovina_priorities_for_2016_-_2026_higher_education_development_in_bih_eu.pdf,albania-education-strategy-2004-2015.pdf,ireland_strategy_statement.pdf,croatia_education_sector_development_plan_2005-2010.pdf,moldova_r_seqa-esg-national-action-plan_rm_final_engl.pdf,czech_republic_higher_education_strategic_plan_2021.pdf,ireland_national-strategy-for-higher-education-2030-implementation-plan.pdf,georgia_consolidated_education_strategy_and_action_plan_2007-2011.pdf,moldova_education_plan2006-2008.pdf,denmark_better_education_action_plan.pdf,netherlands_quality_agreements_2019-2024.pdf,ireland_department-of-education-and-skills-strategy-statement-2016-2019.pdf,netherlands_quality_in_diversity_strategy.pdf,estonia_youth_work_strategy_2006-2013.pdf,lithuania_ed_improvement_project_2002-2005.pdf,montenegro_strategy_for_the_development_of_higher_education_2016-2020.pdf,reportsstategy-statementdepartment-of-education-and-skills-statement-of-strategy-2015-2017.pdf,moldova_consolidated_strategy_ed-dev_2011-2015.pdf,ireland_statement-of-strategy-2019-2021.pdf
object,123,4,43,15,19,72,67,20,21,101,21,16,71,2,3,19,6,1,94,13,4,8,20,3,59,3
________________________,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longterm,6,0,8,1,0,80,8,6,0,1,9,0,15,0,3,0,0,3,0,10,1,2,2,0,0,2
strateg,28,9,19,0,2,151,0,21,1,16,3,4,205,19,1,0,3,1,15,63,5,3,17,6,20,35
vision,13,0,10,0,0,14,1,1,1,0,1,0,12,1,0,0,3,2,9,2,0,0,0,4,4,10
prioriti,26,0,25,12,5,24,1,26,11,17,20,8,48,16,23,8,3,0,7,20,1,7,7,5,35,8
___________________,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
build,30,1,29,3,14,34,10,3,20,16,4,0,30,5,15,5,12,0,25,4,1,6,5,10,7,9
basi,20,9,11,6,19,15,48,2,12,14,4,6,22,9,21,11,40,6,12,34,10,4,14,1,36,4
lifelong,12,4,41,0,0,10,8,2,2,15,22,1,39,0,17,0,7,0,6,9,4,1,31,0,10,2
learn,57,4,176,42,9,13,135,9,37,55,75,42,115,20,63,9,32,0,92,31,13,20,77,18,20,47
key,32,0,54,7,0,37,52,5,15,35,12,2,21,5,4,0,4,1,24,9,0,0,16,8,0,21
compet,45,5,22,18,0,28,65,0,21,6,18,17,61,2,4,1,136,0,17,5,0,4,16,0,12,3
__________________________________________________________,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mitig,6,0,1,0,0,10,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
____________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
improv,137,4,87,6,39,126,10,34,25,59,56,23,51,5,78,31,39,9,108,56,13,50,66,30,31,24
___________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
promot,29,2,31,6,10,35,63,0,7,57,13,14,10,8,1,9,7,2,19,9,0,0,21,5,60,8
__________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condit,33,5,1,0,29,57,61,9,14,3,8,7,37,1,9,6,10,0,1,9,6,12,28,0,43,0
__________________________,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
costeffici,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
govern,31,6,34,9,32,119,13,15,50,91,17,49,16,17,67,1,57,3,26,190,19,7,12,11,21,14
implement,63,12,82,12,48,53,24,30,33,101,46,21,105,72,26,38,9,5,54,30,25,12,66,40,147,34
_______________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instrument,13,3,1,1,1,20,34,2,5,0,0,0,7,0,1,0,2,1,1,12,0,0,3,0,0,1
______________________,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regul,42,1,1,3,15,15,22,2,2,8,6,18,49,1,10,3,2,1,0,19,4,0,14,0,11,0
fund,43,30,35,0,67,16,0,35,81,37,16,5,88,43,69,11,5,12,29,115,2,12,61,8,18,4
